location,treatment,pair,plot,point,date,year,DOY,CumLS2022,CumES2023,CumLS2023,TD [cm],Note
1,C,1,1C1,A,21/07/2022,2022,202,0,0,0,79,
1,C,1,1C1,C,21/07/2022,2022,202,0,0,0,78,
1,C,1,1C1,E,21/07/2022,2022,202,0,0,0,73,
1,C,1,1C1,G,21/07/2022,2022,202,0,0,0,75,
1,C,1,1C1,I,21/07/2022,2022,202,0,0,0,75,
1,I,1,1I1,A,21/07/2022,2022,202,0,0,0,84,
1,I,1,1I1,C,21/07/2022,2022,202,0,0,0,84,
1,I,1,1I1,E,21/07/2022,2022,202,0,0,0,82,
1,I,1,1I1,G,21/07/2022,2022,202,0,0,0,89,
1,I,1,1I1,I,21/07/2022,2022,202,0,0,0,84,
1,C,2,1C2,A,21/07/2022,2022,202,0,0,0,79,
1,C,2,1C2,C,21/07/2022,2022,202,0,0,0,75,
1,C,2,1C2,E,21/07/2022,2022,202,0,0,0,80,
1,C,2,1C2,G,21/07/2022,2022,202,0,0,0,76,
1,C,2,1C2,I,21/07/2022,2022,202,0,0,0,79,
1,I,2,1I2,A,21/07/2022,2022,202,0,0,0,79,
1,I,2,1I2,C,21/07/2022,2022,202,0,0,0,80,
1,I,2,1I2,E,21/07/2022,2022,202,0,0,0,82,
1,I,2,1I2,G,21/07/2022,2022,202,0,0,0,79,
1,I,2,1I2,I,21/07/2022,2022,202,0,0,0,79,
1,C,3,1C3,A,21/07/2022,2022,202,0,0,0,87,
1,C,3,1C3,C,21/07/2022,2022,202,0,0,0,87,
1,C,3,1C3,E,21/07/2022,2022,202,0,0,0,85,
1,C,3,1C3,G,21/07/2022,2022,202,0,0,0,86,
1,C,3,1C3,I,21/07/2022,2022,202,0,0,0,88,
1,I,3,1I3,A,21/07/2022,2022,202,0,0,0,83,
1,I,3,1I3,C,21/07/2022,2022,202,0,0,0,85,
1,I,3,1I3,E,21/07/2022,2022,202,0,0,0,86,
1,I,3,1I3,G,21/07/2022,2022,202,0,0,0,86,
1,I,3,1I3,I,21/07/2022,2022,202,0,0,0,80,
1,C,4,1C4,A,21/07/2022,2022,202,0,0,0,80,
1,C,4,1C4,C,21/07/2022,2022,202,0,0,0,74,
1,C,4,1C4,E,21/07/2022,2022,202,0,0,0,76,
1,C,4,1C4,G,21/07/2022,2022,202,0,0,0,82,
1,C,4,1C4,I,21/07/2022,2022,202,0,0,0,76,
1,I,4,1I4,A,21/07/2022,2022,202,0,0,0,78,
1,I,4,1I4,C,21/07/2022,2022,202,0,0,0,80,
1,I,4,1I4,E,21/07/2022,2022,202,0,0,0,82,
1,I,4,1I4,G,21/07/2022,2022,202,0,0,0,79,
1,I,4,1I4,I,21/07/2022,2022,202,0,0,0,79,
1,C,5,1C5,A,21/07/2022,2022,202,0,0,0,89,
1,C,5,1C5,C,21/07/2022,2022,202,0,0,0,83,
1,C,5,1C5,E,21/07/2022,2022,202,0,0,0,81,
